names,ratings,locations,latitude,longitude
Lumiere Cafe,4.5,521 West Broadway,49.271721,-123.104207
The Chinese Tea Shop,4.5,101 E Pender Street,49.271721,-123.104207
Honolulu Coffee,4.5,97 West 2nd Avenue,49.271721,-123.104207
Rolling Cashew,4.5,401 Industrial Avenue,49.271721,-123.104207
Little Bangkok Thai Kitchen 2,4.5,88 W Pender Street,49.271721,-123.104207
Cilantro Indian Cuisine,4.5,189 W Broadway,49.271721,-123.104207
Manpuku Bento,4.5,288 E Pender Street,49.271721,-123.104207
Superbaba,4.5,2419 Main St,49.271721,-123.104207
Marine Building,5.0,355 Burrard St,49.287214,-123.11287
The Magnet,5.0,309 W Pender Street,49.287214,-123.11287
Sooda Korean BBQ,5.0,60 West Cordova Street,49.287214,-123.11287
Robba Da Matti,5.0,12 Powell St,49.287214,-123.11287
Social Crust,5.0,335 W Pender St,49.287214,-123.11287
Rainbow Park,5.0,872 Richards Street,49.287214,-123.11287
Jack Poole Plaza,5.0,1055 Canada Place,49.287214,-123.11287
West Hotel & Bar,5.0,488 Carrall St,49.287214,-123.11287
Say Hello Sweets,5.0,620 Quebec Street,49.287214,-123.11287
Incognito Coffee,4.5,843 Seymour Street,49.287214,-123.11287
VAN CHA,4.5,433 Hornby Street,49.287214,-123.11287
Le Parfait,4.5,812 Homer Street,49.287214,-123.11287
Tekkaba,4.5,68 E Cordova Street,49.287214,-123.11287
Hoduya,4.5,86 Keefer Place,49.287214,-123.11287
Amante Bakery,4.5,590 Robson St,49.287214,-123.11287
Aiyaohno Cafe,4.5,425 Carrall Street,49.287214,-123.11287
Curry Hut Indian Bistro,4.5,445 Howe Street,49.287214,-123.11287
The Chinese Tea Shop,4.5,101 E Pender Street,49.287214,-123.11287
Trish Juice,4.5,981 Hornby Street,49.287214,-123.11287
Little Bangkok Thai Kitchen 2,4.5,88 W Pender Street,49.287214,-123.11287
Grab N Go,5.0,1207 Hamilton Street,49.282409,-123.118541
Parker Rooftop,5.0,1379 Howe Street,49.282409,-123.118541
Marine Building,5.0,355 Burrard St,49.282409,-123.118541
Okeya Kyujiro,5.0,1038 Mainland Street,49.282409,-123.118541
Sake Dining Hashigo,5.0,1265 Granville St,49.282409,-123.118541
Cardero Cafe,5.0,1105 Davie St,49.282409,-123.118541
Ssong's Hotdog,5.0,795 Jervis Street,49.282409,-123.118541
Manoush'eh,5.0,620 Davie Street,49.282409,-123.118541
The Magnet,5.0,309 W Pender Street,49.282409,-123.118541
Sooda Korean BBQ,5.0,60 West Cordova Street,49.282409,-123.118541
Number E Food,5.0,1308 Burrard Street,49.282409,-123.118541
Social Crust,5.0,335 W Pender St,49.282409,-123.118541
Rainbow Park,5.0,872 Richards Street,49.282409,-123.118541
Jack Poole Plaza,5.0,1055 Canada Place,49.282409,-123.118541
7 Days Coffee,5.0,920 Beatty Street,49.282409,-123.118541
Smithe Salad,4.5,191 Smithe Street,49.282409,-123.118541
Incognito Coffee,4.5,843 Seymour Street,49.282409,-123.118541
Passione Gelato,4.5,55 Smithe Street,49.282409,-123.118541
VAN CHA,4.5,433 Hornby Street,49.282409,-123.118541
Starbucks,4.5,1088 Burrard Street,49.282409,-123.118541
Marine Building,5.0,355 Burrard St,49.287097,-123.118551
Cardero Cafe,5.0,1105 Davie St,49.287097,-123.118551
Ssong's Hotdog,5.0,795 Jervis Street,49.287097,-123.118551
The Magnet,5.0,309 W Pender Street,49.287097,-123.118551
Sooda Korean BBQ,5.0,60 West Cordova Street,49.287097,-123.118551
Social Crust,5.0,335 W Pender St,49.287097,-123.118551
Rainbow Park,5.0,872 Richards Street,49.287097,-123.118551
Jack Poole Plaza,5.0,1055 Canada Place,49.287097,-123.118551
Incognito Coffee,4.5,843 Seymour Street,49.287097,-123.118551
VAN CHA,4.5,433 Hornby Street,49.287097,-123.118551
Starbucks,4.5,1088 Burrard Street,49.287097,-123.118551
Le Parfait,4.5,812 Homer Street,49.287097,-123.118551
Yasma,4.5,550 Denman Street,49.287097,-123.118551
Hoduya,4.5,86 Keefer Place,49.287097,-123.118551
Amante Bakery,4.5,590 Robson St,49.287097,-123.118551
Curry Hut Indian Bistro,4.5,445 Howe Street,49.287097,-123.118551
The Red Accordion,4.5,1616 Alberni Street,49.287097,-123.118551
Pho 37,4.5,1578 Robson Street,49.287097,-123.118551
Trish Juice,4.5,981 Hornby Street,49.287097,-123.118551
Little Bangkok Thai Kitchen 2,4.5,88 W Pender Street,49.287097,-123.118551
Grab N Go,5.0,1207 Hamilton Street,49.273471,-123.118016
Parker Rooftop,5.0,1379 Howe Street,49.273471,-123.118016
Okeya Kyujiro,5.0,1038 Mainland Street,49.273471,-123.118016
Sake Dining Hashigo,5.0,1265 Granville St,49.273471,-123.118016
Cardero Cafe,5.0,1105 Davie St,49.273471,-123.118016
Manoush'eh,5.0,620 Davie Street,49.273471,-123.118016
The Magnet,5.0,309 W Pender Street,49.273471,-123.118016
Number E Food,5.0,1308 Burrard Street,49.273471,-123.118016
Rainbow Park,5.0,872 Richards Street,49.273471,-123.118016
George Wainborn Park,5.0,450 Beach Crescent,49.273471,-123.118016
Convivial Cafe and Bakery,5.0,680A Leg In Boot Square,49.273471,-123.118016
7 Days Coffee,5.0,920 Beatty Street,49.273471,-123.118016
Smithe Salad,4.5,191 Smithe Street,49.273471,-123.118016
Incognito Coffee,4.5,843 Seymour Street,49.273471,-123.118016
Uno Gelato,4.5,601 Stamps Landing,49.273471,-123.118016
Passione Gelato,4.5,55 Smithe Street,49.273471,-123.118016
Starbucks,4.5,1088 Burrard Street,49.273471,-123.118016
Le Parfait,4.5,812 Homer Street,49.273471,-123.118016
Ignite Pizzeria,4.5,987 Mainland Street,49.273471,-123.118016
Sweet Spot,4.5,1178 Marinaside Crescent,49.273471,-123.118016
Grab N Go,5.0,1207 Hamilton Street,49.282758,-123.122092
Parker Rooftop,5.0,1379 Howe Street,49.282758,-123.122092
Marine Building,5.0,355 Burrard St,49.282758,-123.122092
Okeya Kyujiro,5.0,1038 Mainland Street,49.282758,-123.122092
Sake Dining Hashigo,5.0,1265 Granville St,49.282758,-123.122092
Cardero Cafe,5.0,1105 Davie St,49.282758,-123.122092
Ssong's Hotdog,5.0,795 Jervis Street,49.282758,-123.122092
inBtwn Cafe,5.0,1625 Hornby Street,49.282758,-123.122092
Manoush'eh,5.0,620 Davie Street,49.282758,-123.122092
The Magnet,5.0,309 W Pender Street,49.282758,-123.122092
Number E Food,5.0,1308 Burrard Street,49.282758,-123.122092
Social Crust,5.0,335 W Pender St,49.282758,-123.122092
Rainbow Park,5.0,872 Richards Street,49.282758,-123.122092
Jack Poole Plaza,5.0,1055 Canada Place,49.282758,-123.122092
Trees Cheesecake & Organic Coffee,5.0,130-1160 Davie Street,49.282758,-123.122092
Keto Caveman Davie,5.0,1230 Davie Street,49.282758,-123.122092
7 Days Coffee,5.0,920 Beatty Street,49.282758,-123.122092
Smithe Salad,4.5,191 Smithe Street,49.282758,-123.122092
Incognito Coffee,4.5,843 Seymour Street,49.282758,-123.122092
Passione Gelato,4.5,55 Smithe Street,49.282758,-123.122092
Marine Building,5.0,355 Burrard St,49.28602,-123.116624
Ssong's Hotdog,5.0,795 Jervis Street,49.28602,-123.116624
The Magnet,5.0,309 W Pender Street,49.28602,-123.116624
Sooda Korean BBQ,5.0,60 West Cordova Street,49.28602,-123.116624
Robba Da Matti,5.0,12 Powell St,49.28602,-123.116624
Social Crust,5.0,335 W Pender St,49.28602,-123.116624
Rainbow Park,5.0,872 Richards Street,49.28602,-123.116624
Jack Poole Plaza,5.0,1055 Canada Place,49.28602,-123.116624
West Hotel & Bar,5.0,488 Carrall St,49.28602,-123.116624
Smithe Salad,4.5,191 Smithe Street,49.28602,-123.116624
Incognito Coffee,4.5,843 Seymour Street,49.28602,-123.116624
VAN CHA,4.5,433 Hornby Street,49.28602,-123.116624
Starbucks,4.5,1088 Burrard Street,49.28602,-123.116624
Le Parfait,4.5,812 Homer Street,49.28602,-123.116624
Ignite Pizzeria,4.5,987 Mainland Street,49.28602,-123.116624
Hoduya,4.5,86 Keefer Place,49.28602,-123.116624
Amante Bakery,4.5,590 Robson St,49.28602,-123.116624
Aiyaohno Cafe,4.5,425 Carrall Street,49.28602,-123.116624
Curry Hut Indian Bistro,4.5,445 Howe Street,49.28602,-123.116624
Trish Juice,4.5,981 Hornby Street,49.28602,-123.116624
Grab N Go,5.0,1207 Hamilton Street,49.279739,-123.116251
Marine Building,5.0,355 Burrard St,49.279739,-123.116251
Okeya Kyujiro,5.0,1038 Mainland Street,49.279739,-123.116251
Sake Dining Hashigo,5.0,1265 Granville St,49.279739,-123.116251
Ssong's Hotdog,5.0,795 Jervis Street,49.279739,-123.116251
Manoush'eh,5.0,620 Davie Street,49.279739,-123.116251
The Magnet,5.0,309 W Pender Street,49.279739,-123.116251
Sooda Korean BBQ,5.0,60 West Cordova Street,49.279739,-123.116251
Robba Da Matti,5.0,12 Powell St,49.279739,-123.116251
Social Crust,5.0,335 W Pender St,49.279739,-123.116251
Rainbow Park,5.0,872 Richards Street,49.279739,-123.116251
George Wainborn Park,5.0,450 Beach Crescent,49.279739,-123.116251
West Hotel & Bar,5.0,488 Carrall St,49.279739,-123.116251
7 Days Coffee,5.0,920 Beatty Street,49.279739,-123.116251
Smithe Salad,4.5,191 Smithe Street,49.279739,-123.116251
Incognito Coffee,4.5,843 Seymour Street,49.279739,-123.116251
Passione Gelato,4.5,55 Smithe Street,49.279739,-123.116251
VAN CHA,4.5,433 Hornby Street,49.279739,-123.116251
Starbucks,4.5,1088 Burrard Street,49.279739,-123.116251
Le Parfait,4.5,812 Homer Street,49.279739,-123.116251
Grab N Go,5.0,1207 Hamilton Street,49.277483,-123.114279
Okeya Kyujiro,5.0,1038 Mainland Street,49.277483,-123.114279
Sake Dining Hashigo,5.0,1265 Granville St,49.277483,-123.114279
Manoush'eh,5.0,620 Davie Street,49.277483,-123.114279
The Magnet,5.0,309 W Pender Street,49.277483,-123.114279
Sooda Korean BBQ,5.0,60 West Cordova Street,49.277483,-123.114279
Robba Da Matti,5.0,12 Powell St,49.277483,-123.114279
Social Crust,5.0,335 W Pender St,49.277483,-123.114279
Rainbow Park,5.0,872 Richards Street,49.277483,-123.114279
West Hotel & Bar,5.0,488 Carrall St,49.277483,-123.114279
Say Hello Sweets,5.0,620 Quebec Street,49.277483,-123.114279
7 Days Coffee,5.0,920 Beatty Street,49.277483,-123.114279
Smithe Salad,4.5,191 Smithe Street,49.277483,-123.114279
Incognito Coffee,4.5,843 Seymour Street,49.277483,-123.114279
Uno Gelato,4.5,601 Stamps Landing,49.277483,-123.114279
Passione Gelato,4.5,55 Smithe Street,49.277483,-123.114279
VAN CHA,4.5,433 Hornby Street,49.277483,-123.114279
Starbucks,4.5,1088 Burrard Street,49.277483,-123.114279
Le Parfait,4.5,812 Homer Street,49.277483,-123.114279
Tekkaba,4.5,68 E Cordova Street,49.277483,-123.114279
Grab N Go,5.0,1207 Hamilton Street,49.275679,-123.116963
Parker Rooftop,5.0,1379 Howe Street,49.275679,-123.116963
Okeya Kyujiro,5.0,1038 Mainland Street,49.275679,-123.116963
Sake Dining Hashigo,5.0,1265 Granville St,49.275679,-123.116963
Manoush'eh,5.0,620 Davie Street,49.275679,-123.116963
The Magnet,5.0,309 W Pender Street,49.275679,-123.116963
Sooda Korean BBQ,5.0,60 West Cordova Street,49.275679,-123.116963
Robba Da Matti,5.0,12 Powell St,49.275679,-123.116963
Social Crust,5.0,335 W Pender St,49.275679,-123.116963
Rainbow Park,5.0,872 Richards Street,49.275679,-123.116963
George Wainborn Park,5.0,450 Beach Crescent,49.275679,-123.116963
Convivial Cafe and Bakery,5.0,680A Leg In Boot Square,49.275679,-123.116963
West Hotel & Bar,5.0,488 Carrall St,49.275679,-123.116963
7 Days Coffee,5.0,920 Beatty Street,49.275679,-123.116963
Smithe Salad,4.5,191 Smithe Street,49.275679,-123.116963
Incognito Coffee,4.5,843 Seymour Street,49.275679,-123.116963
Uno Gelato,4.5,601 Stamps Landing,49.275679,-123.116963
Passione Gelato,4.5,55 Smithe Street,49.275679,-123.116963
Blaze Gourmet Burgers,4.5,43 E 5th Avenue,49.275679,-123.116963
Starbucks,4.5,1088 Burrard Street,49.275679,-123.116963
Marine Building,5.0,355 Burrard St,49.282759,-123.106955
Okeya Kyujiro,5.0,1038 Mainland Street,49.282759,-123.106955
Johnny's Pops,5.0,,49.282759,-123.106955
The Magnet,5.0,309 W Pender Street,49.282759,-123.106955
Sooda Korean BBQ,5.0,60 West Cordova Street,49.282759,-123.106955
Robba Da Matti,5.0,12 Powell St,49.282759,-123.106955
Social Crust,5.0,335 W Pender St,49.282759,-123.106955
Rainbow Park,5.0,872 Richards Street,49.282759,-123.106955
Jack Poole Plaza,5.0,1055 Canada Place,49.282759,-123.106955
West Hotel & Bar,5.0,488 Carrall St,49.282759,-123.106955
Say Hello Sweets,5.0,620 Quebec Street,49.282759,-123.106955
7 Days Coffee,5.0,920 Beatty Street,49.282759,-123.106955
Smithe Salad,4.5,191 Smithe Street,49.282759,-123.106955
Incognito Coffee,4.5,843 Seymour Street,49.282759,-123.106955
Passione Gelato,4.5,55 Smithe Street,49.282759,-123.106955
VAN CHA,4.5,433 Hornby Street,49.282759,-123.106955
Le Parfait,4.5,812 Homer Street,49.282759,-123.106955
Tekkaba,4.5,68 E Cordova Street,49.282759,-123.106955
Ignite Pizzeria,4.5,987 Mainland Street,49.282759,-123.106955
Hoduya,4.5,86 Keefer Place,49.282759,-123.106955
93 Coffee,5.0,1789 Comox Street,49.288444,-123.139203
Cardero Cafe,5.0,1105 Davie St,49.288444,-123.139203
Arike Restaurant,5.0,1725 Davie St,49.288444,-123.139203
Vancouver Seawall,5.0,,49.288444,-123.139203
Ssong's Hotdog,5.0,795 Jervis Street,49.288444,-123.139203
Big Bang Sushi,5.0,1103 Denman St,49.288444,-123.139203
Trees Cheesecake & Organic Coffee,5.0,130-1160 Davie Street,49.288444,-123.139203
Keto Caveman Davie,5.0,1230 Davie Street,49.288444,-123.139203
English Bay Beach Park,4.5,1700 Beach Avenue,49.288444,-123.139203
Starbucks,4.5,1088 Burrard Street,49.288444,-123.139203
Yasma,4.5,550 Denman Street,49.288444,-123.139203
Tom Sushi,4.5,1175 Davie St,49.288444,-123.139203
Noah's Cafe,4.5,1096 Denman Street,49.288444,-123.139203
Davie Village Bakery,4.5,1216 Davie Street,49.288444,-123.139203
Movies in the Park,4.5,Stanley Park Dr,49.288444,-123.139203
The Red Accordion,4.5,1616 Alberni Street,49.288444,-123.139203
Pho 37,4.5,1578 Robson Street,49.288444,-123.139203
theKhaykery,4.5,1610 Robson Street,49.288444,-123.139203
Al-Hadbah Donair,4.5,1610 Robson St,49.288444,-123.139203
Good Dogs Plant Foods,4.5,1331 Robson Street,49.288444,-123.139203
Marine Building,5.0,355 Burrard St,49.289124,-123.12196
Cardero Cafe,5.0,1105 Davie St,49.289124,-123.12196
Vancouver Seawall,5.0,,49.289124,-123.12196
Ssong's Hotdog,5.0,795 Jervis Street,49.289124,-123.12196
The Magnet,5.0,309 W Pender Street,49.289124,-123.12196
Stanley Park,5.0,1166 Stanley Park Drive,49.289124,-123.12196
Social Crust,5.0,335 W Pender St,49.289124,-123.12196
Jack Poole Plaza,5.0,1055 Canada Place,49.289124,-123.12196
Trees Cheesecake & Organic Coffee,5.0,130-1160 Davie Street,49.289124,-123.12196
Keto Caveman Davie,5.0,1230 Davie Street,49.289124,-123.12196
Incognito Coffee,4.5,843 Seymour Street,49.289124,-123.12196
VAN CHA,4.5,433 Hornby Street,49.289124,-123.12196
Starbucks,4.5,1088 Burrard Street,49.289124,-123.12196
Yasma,4.5,550 Denman Street,49.289124,-123.12196
Tom Sushi,4.5,1175 Davie St,49.289124,-123.12196
Davie Village Bakery,4.5,1216 Davie Street,49.289124,-123.12196
Amante Bakery,4.5,590 Robson St,49.289124,-123.12196
Curry Hut Indian Bistro,4.5,445 Howe Street,49.289124,-123.12196
The Red Accordion,4.5,1616 Alberni Street,49.289124,-123.12196
Pho 37,4.5,1578 Robson Street,49.289124,-123.12196
Grab N Go,5.0,1207 Hamilton Street,49.28062,-123.12482
Parker Rooftop,5.0,1379 Howe Street,49.28062,-123.12482
Marine Building,5.0,355 Burrard St,49.28062,-123.12482
Okeya Kyujiro,5.0,1038 Mainland Street,49.28062,-123.12482
Sake Dining Hashigo,5.0,1265 Granville St,49.28062,-123.12482
Cardero Cafe,5.0,1105 Davie St,49.28062,-123.12482
Ssong's Hotdog,5.0,795 Jervis Street,49.28062,-123.12482
inBtwn Cafe,5.0,1625 Hornby Street,49.28062,-123.12482
Manoush'eh,5.0,620 Davie Street,49.28062,-123.12482
The Magnet,5.0,309 W Pender Street,49.28062,-123.12482
Number E Food,5.0,1308 Burrard Street,49.28062,-123.12482
Social Crust,5.0,335 W Pender St,49.28062,-123.12482
Rainbow Park,5.0,872 Richards Street,49.28062,-123.12482
George Wainborn Park,5.0,450 Beach Crescent,49.28062,-123.12482
Jack Poole Plaza,5.0,1055 Canada Place,49.28062,-123.12482
Trees Cheesecake & Organic Coffee,5.0,130-1160 Davie Street,49.28062,-123.12482
Keto Caveman Davie,5.0,1230 Davie Street,49.28062,-123.12482
7 Days Coffee,5.0,920 Beatty Street,49.28062,-123.12482
Smithe Salad,4.5,191 Smithe Street,49.28062,-123.12482
Incognito Coffee,4.5,843 Seymour Street,49.28062,-123.12482
Grab N Go,5.0,1207 Hamilton Street,49.279938,-123.127478
