,names,ratings,locations,distances,latitude,longitude,price,popularity,total_photos,total_ratings
18,OEB Breakfast Co,8.2,"1137 Marinaside Cres, Vancouver BC V6Z 2Y3",234,49.274566,-123.121817,1.0,0.9687351786154692,94.0,44.0
19,David Lam Park,9.3,"1300 Pacific Blvd, Vancouver BC V6Z 0A9",276,49.274566,-123.121817,,0.9986909753182448,656.0,194.0
20,Chambar,8.9,"562 Beatty St (btwn W Pender & Dunsmuir), Vancouver BC V6B 2L3",18,49.279764,-123.110154,3.0,0.9914439111380926,549.0,518.0
21,Jam Cafe,8.8,"556 Beatty St, Vancouver BC V6B 2L3",74,49.279764,-123.110154,1.0,0.9689818064540608,269.0,147.0
22,Queen Elizabeth Theatre,9.0,"600 Block Hamilton St (at W Georgia St), Vancouver BC V6B 2P1",193,49.279764,-123.110154,,0.9950864146003681,841.0,253.0
23,Rogers Arena,8.6,"800 Griffiths Way at Expo Blvd (at Abbott St), Vancouver BC V6B 6G1",229,49.279764,-123.110154,,0.9976285784750811,4522.0,1270.0
24,The Magnet,8.5,"309 Pender St W, Vancouver BC V6B 1T3",299,49.279764,-123.110154,,0.9621900552066931,69.0,15.0
25,Meat & Bread,9.2,"370 Cambie St (btwn Cordova & Hastings), Vancouver BC V6B 2N3",323,49.279764,-123.110154,2.0,0.9347195082620325,660.0,608.0
26,Nemesis Coffee,8.7,"302 W Hastings St (Hamilton), Vancouver BC V6B 0P7",314,49.279764,-123.110154,1.0,0.9729088804993266,225.0,141.0
27,Fanny Bay Oyster Bar & Shellfish Market,9.0,"762 Cambie St, Vancouver BC V6B 2P2",334,49.279764,-123.110154,4.0,0.9729657946159246,162.0,60.0
28,Finch's Tea & Coffee House,9.0,"353 Pender St W (at Homer St), Vancouver BC V6B 1T3",353,49.279764,-123.110154,2.0,0.9556259604257176,208.0,179.0
29,Black Rice Izakaya,8.5,"782 Cambie St (Robson), Vancouver BC V6B 2P2",342,49.279764,-123.110154,,0.9254614786287492,64.0,71.0
30,Indian Roti Kitchen,8.4,"2961 Cambie St, Vancouver BC V5Z 2V7",216,49.260599,-123.113504,2.0,0.9053897668418357,4.0,33.0
31,Passion8 Dessert Cafe,8.0,"3010 Cambie St, Vancouver BC V5Z 2V9",264,49.260599,-123.113504,1.0,0.9468611864696174,28.0,32.0
32,La Taqueria Pinche Taco Shop,8.5,"2450 Yukon St (at W Broadway), Vancouver BC V5Y 0A4",330,49.260599,-123.113504,2.0,0.9206048073457154,283.0,366.0
33,Vij's,8.9,"3106 Cambie St (at W 15th Ave), Vancouver BC V5Z 2W2",360,49.260599,-123.113504,2.0,0.9633093661664548,66.0,113.0
34,Whole Foods,8.5,"510 8th Ave W (at Cambie St), Vancouver BC V5Z 1C5",401,49.260599,-123.113504,3.0,0.9968507522149077,431.0,364.0
35,Elysian Coffee Broadway,8.2,"590 Broadway W (at Ash St), Vancouver BC V5Z 1E9",398,49.260599,-123.113504,1.0,0.9569918992240709,171.0,199.0
36,Milano Coffee,8.8,"156 8th Ave W (btwn Columbia & Manitoba St), Vancouver BC V5Y 1N2",492,49.260599,-123.113504,2.0,0.9766652121947981,139.0,123.0
37,Cactus Club Cafe Broadway + Ash,7.6,"575 West Broadway (at Ash St), Vancouver BC V5Z 1E6",414,49.260599,-123.113504,3.0,0.9830965073703781,107.0,96.0
38,Menchies Frozen Yogurt,8.2,"2315 Cambie St (at W 7th Ave), Vancouver BC V5Z 2T9",477,49.260599,-123.113504,1.0,0.9200166948075355,225.0,69.0
39,Caffe Cittadella,8.6,"2310 Ash St (at W 7th Ave), Vancouver BC V5Z 3C2",545,49.260599,-123.113504,2.0,0.9546204776991519,137.0,81.0
40,Caffe Cittadella,8.6,"2310 Ash St (at W 7th Ave), Vancouver BC V5Z 3C2",74,49.264215,-123.117772,2.0,0.9546204776991519,137.0,81.0
41,Elysian Coffee Broadway,8.2,"590 Broadway W (at Ash St), Vancouver BC V5Z 1E9",120,49.264215,-123.117772,1.0,0.9569918992240709,171.0,199.0
42,Cactus Club Cafe Broadway + Ash,7.6,"575 West Broadway (at Ash St), Vancouver BC V5Z 1E6",96,49.264215,-123.117772,3.0,0.9830965073703781,107.0,96.0
43,Whole Foods,8.5,"510 8th Ave W (at Cambie St), Vancouver BC V5Z 1C5",180,49.264215,-123.117772,3.0,0.9968507522149077,431.0,364.0
44,Menchies Frozen Yogurt,8.2,"2315 Cambie St (at W 7th Ave), Vancouver BC V5Z 2T9",208,49.264215,-123.117772,1.0,0.9200166948075355,225.0,69.0
45,Dynasty Seafood Restaurant 皇朝海鮮酒家,7.6,"777 Broadway W, Vancouver BC V5Z 4J7",259,49.264215,-123.117772,1.0,0.9819961677828157,182.0,105.0
46,La Taqueria Pinche Taco Shop,8.5,"2450 Yukon St (at W Broadway), Vancouver BC V5Y 0A4",368,49.264215,-123.117772,2.0,0.9206048073457154,283.0,366.0
47,Body Energy Club,7.5,"555 12th Ave W (at City Square), Vancouver BC V5Z 3X7",360,49.264215,-123.117772,,0.9026768606173284,12.0,10.0
48,Aperture Coffee Bar,8.4,"243 West Broadway (at Alberta St), Vancouver BC V5Y 1P5",542,49.264215,-123.117772,1.0,0.9155773937128873,72.0,94.0
49,Charleson Park,8.9,"999 Charleson St, Vancouver BC",581,49.264215,-123.117772,,0.9949536149949726,332.0,59.0
50,Cooper's Park,8.8,"1020 Marinaside Cres (Cambie Bridge), Vancouver BC",312,49.270877,-123.115103,,0.9970404659369012,208.0,62.0
51,OEB Breakfast Co,8.2,"1137 Marinaside Cres, Vancouver BC V6Z 2Y3",402,49.270877,-123.115103,1.0,0.9687351786154692,94.0,44.0
52,Hinge Park,7.5,"Columbia St (at Walter Harkwick Ave), Vancouver BC",396,49.270877,-123.115103,,0.9847470167517216,78.0,11.0
53,JJ Bean Coffee Roasters,7.8,"188 1st Ave W (at Columbia St), Vancouver BC V5Y 1A4",437,49.270877,-123.115103,1.0,0.96812809470509,64.0,70.0
54,Honey Salt,8.5,"39 Smithe St, Vancouver BC V6B 0R3",492,49.270877,-123.115103,,0.9913680256492952,41.0,41.0
55,La Terrazza,8.9,"1088 Cambie St (at Pacific Blvd.), Vancouver BC V6B 6J5",515,49.270877,-123.115103,4.0,0.9513574016808636,29.0,34.0
56,Passione Gelato,8.5,"55 Smithe St, Vancouver BC V6B 0R3",503,49.270877,-123.115103,,0.9677107245167043,10.0,13.0
57,The Beaumont Studios,8.2,"316W 5th Ave W (near Alberta St), Vancouver BC V5Y 1J5",564,49.270877,-123.115103,,0.9728329950105291,35.0,20.0
58,BC Place,8.7,"777 Pacific Blvd (at Expo Blvd.), Vancouver BC V6B 4Y8",601,49.270877,-123.115103,,0.9997723435336078,3570.0,954.0
59,Terra Breads,8.8,"1605 Manitoba St (at Athletes Way), Vancouver BC V5Y 0B8",615,49.270877,-123.115103,1.0,0.9840450759803456,213.0,146.0
60,Caffe Cittadella,8.6,"2310 Ash St (at W 7th Ave), Vancouver BC V5Z 3C2",459,49.26893,-123.11813,2.0,0.9546204776991519,137.0,81.0
61,Charleson Park,8.9,"999 Charleson St, Vancouver BC",526,49.26893,-123.11813,,0.9949536149949726,332.0,59.0
62,OEB Breakfast Co,8.2,"1137 Marinaside Cres, Vancouver BC V6Z 2Y3",488,49.26893,-123.11813,1.0,0.9687351786154692,94.0,44.0
63,Menchies Frozen Yogurt,8.2,"2315 Cambie St (at W 7th Ave), Vancouver BC V5Z 2T9",513,49.26893,-123.11813,1.0,0.9200166948075355,225.0,69.0
64,David Lam Park,9.3,"1300 Pacific Blvd, Vancouver BC V6Z 0A9",572,49.26893,-123.11813,,0.9986909753182448,656.0,194.0
65,Whole Foods,8.5,"510 8th Ave W (at Cambie St), Vancouver BC V5Z 1C5",583,49.26893,-123.11813,3.0,0.9968507522149077,431.0,364.0
66,Cooper's Park,8.8,"1020 Marinaside Cres (Cambie Bridge), Vancouver BC",603,49.26893,-123.11813,,0.9970404659369012,208.0,62.0
67,The Beaumont Studios,8.2,"316W 5th Ave W (near Alberta St), Vancouver BC V5Y 1J5",577,49.26893,-123.11813,,0.9728329950105291,35.0,20.0
68,La Terrazza,8.9,"1088 Cambie St (at Pacific Blvd.), Vancouver BC V6B 6J5",659,49.26893,-123.11813,4.0,0.9513574016808636,29.0,34.0
69,Elysian Coffee Broadway,8.2,"590 Broadway W (at Ash St), Vancouver BC V5Z 1E9",642,49.26893,-123.11813,1.0,0.9569918992240709,171.0,199.0
70,Seaside Seawall,9.4,"Quebec St, Vancouver BC",91,49.271721,-123.104207,,0.9989683836279333,168.0,94.0
71,Terra Breads,8.8,"1605 Manitoba St (at Athletes Way), Vancouver BC V5Y 0B8",180,49.271721,-123.104207,1.0,0.9840450759803456,213.0,146.0
72,Legacy Liquor Store,8.6,"1633 Manitoba St (Walter Hardwick Avenue), Vancouver BC V5Y 0B8",193,49.271721,-123.104207,,0.9762668133786117,131.0,104.0
73,Amato Gelato Cafe,8.0,"78 1st Ave E, Vancouver BC V5T 1A1",182,49.271721,-123.104207,1.0,0.9870804955322419,24.0,24.0
74,CRAFT Beer Market Vancouver,8.2,"85 1st Ave W (btwn Manitoba & Salt), Vancouver BC V5Y 0C4",195,49.271721,-123.104207,3.0,0.9835138775587638,885.0,578.0
75,Earnest Ice Cream,9.3,"1829 Quebec St (at E 2nd Ave), Vancouver BC V5T 2Z3",327,49.271721,-123.104207,1.0,0.9818254254330215,267.0,298.0
76,Creekside Park,8.9,"1455 Quebec St (at Science World), Vancouver BC V6A 3Z7",342,49.271721,-123.104207,,0.9990324600178331,198.0,81.0
77,Faculty Brewing Co,8.3,"1830 Ontario St (at E 2nd Ave), Vancouver BC V5T 2W6",337,49.271721,-123.104207,2.0,0.9526853977348182,118.0,58.0
78,Mountain Equipment Co-Op,7.8,"111 2nd Ave E (at Quebec Street), Vancouver BC V5T 1B4",304,49.271721,-123.104207,,0.9900210582231412,13.0,12.0
79,Argo Cafe,7.7,"1836 Ontario St (at 3rd Ave.), Vancouver BC V5T 2W6",350,49.271721,-123.104207,1.0,0.9318548310599306,43.0,36.0
80,Miku,9.0,"200 Granville St (West Cordova Street), Vancouver BC V6C 1S4",81,49.287214,-123.11287,3.0,0.9971163514256987,989.0,615.0
81,Granville Square,8.2,"200 Granville St (at W Cordova St), Vancouver BC V6C 1S4",81,49.287214,-123.11287,,0.9918802526986777,98.0,29.0
82,The Vancouver Club,8.5,"915 Hastings St W (btwn Hornby & Burrard), Vancouver BC V6C 1C6",184,49.287214,-123.11287,,0.9915767107434881,252.0,42.0
83,Breka Bakery & Café,8.6,"740 Hastings St W, Vancouver BC V6C 1A3",216,49.287214,-123.11287,1.0,0.9956365843941493,48.0,10.0
84,FlyOver Canada,9.3,"999 Canada Pl Way, Vancouver BC V6C 3E1",276,49.287214,-123.11287,,0.9980649200356662,230.0,371.0
85,Botanist,8.6,"1038 Canada Pl, Vancouver BC V6C 0B9",291,49.287214,-123.11287,1.0,0.9814270266168352,127.0,69.0
86,Vancouver Lookout,8.5,"555 Hastings St W (Harbour Centre), Vancouver BC V6B 4N6",289,49.287214,-123.11287,,0.9844814175409308,632.0,193.0
87,Tap & Barrel,8.8,"1055 Canada Pl, Vancouver BC V6C 0C3",413,49.287214,-123.11287,2.0,0.9918233385820796,447.0,353.0
88,Gastown Steam Clock,8.7,"305 Water St (at Cambie St), Vancouver BC V6B 1B8",423,49.287214,-123.11287,,0.997514750241885,1262.0,496.0
89,Cactus Club Cafe,8.7,"1085 Canada Pl, Vancouver BC V6C 0C6",428,49.287214,-123.11287,3.0,0.9966800098651135,744.0,622.0
90,Nespresso Boutique,8.6,"674 Granville St (at Georgia St), Vancouver BC V6C 1Z6",69,49.282409,-123.118541,1.0,0.9695509476200413,70.0,32.0
91,Hawksworth Restaurant,9.1,"801 Georgia St W (at Howe St), Vancouver BC V6C 1P7",125,49.282409,-123.118541,4.0,0.9903246001783309,411.0,273.0
92,Vancouver Art Gallery,8.6,"750 Hornby St (btwn Robson & W Georgia St.), Vancouver BC V6Z 2H7",146,49.282409,-123.118541,,0.9961488114435317,1598.0,564.0
93,Gotham Steakhouse & Cocktail Bar,9.2,"615 Seymour St (btwn Dunsmuir & W Georgia), Vancouver BC V6B 3K3",199,49.282409,-123.118541,4.0,0.9869097531824477,167.0,175.0
94,The Keg Steakhouse + Bar,8.7,"688 Dunsmuir St, Vancouver BC V6B 1N3",194,49.282409,-123.118541,2.0,0.982280738365806,141.0,208.0
95,Sephora,9.0,"701 Georgia St E (at Howe St.), Vancouver BC V6A 1Z9",210,49.282409,-123.118541,,0.9955986416497505,37.0,79.0
96,Commodore Ballroom,9.1,"838 Granville St (Btw Robson & Smithe), Vancouver BC V6Z 1K3",238,49.282409,-123.118541,,0.9736487640151013,729.0,295.0
97,Cafe Medina,9.0,"780 Richards St (btwn W Georgia & Robson), Vancouver BC V6B 3A4",238,49.282409,-123.118541,2.0,0.9852402724289048,995.0,1116.0
98,Kokoro Tokyo Mazesoba,8.8,"551 Seymour St, Vancouver BC V6B 3H6",268,49.282409,-123.118541,1.0,0.9792453188139099,90.0,40.0
99,The Orpheum,8.8,"601 Smithe St (btwn Smithe & Robson), Vancouver BC V6B 3L4",282,49.282409,-123.118541,,0.9875927225816243,625.0,211.0
100,Cactus Club Cafe Bentall 5,8.3,"588 Burrard St (at Dunsmuir St), Vancouver BC V6C 0A8",163,49.287097,-123.118551,2.0,0.9958832122327408,435.0,328.0
101,Botanist,8.6,"1038 Canada Pl, Vancouver BC V6C 0B9",195,49.287097,-123.118551,1.0,0.9814270266168352,127.0,69.0
102,The Vancouver Club,8.5,"915 Hastings St W (btwn Hornby & Burrard), Vancouver BC V6C 1C6",228,49.287097,-123.118551,,0.9915767107434881,252.0,42.0
103,Cactus Club Cafe,8.7,"1085 Canada Pl, Vancouver BC V6C 0C6",271,49.287097,-123.118551,3.0,0.9966800098651135,744.0,622.0
104,Jack Poole Plaza,9.0,"Vancouver Convention Ctr (at Thurlow St), Vancouver BC V6C 3E1",292,49.287097,-123.118551,,0.9950484718559693,426.0,49.0
105,Hy's Steakhouse & Cocktail Bar,8.2,"637 Hornby St (btwn Dunsmuir & Georgia), Vancouver BC V6C 2G3",272,49.287097,-123.118551,4.0,0.9495740926941245,117.0,93.0
106,Tap & Barrel,8.8,"1055 Canada Pl, Vancouver BC V6C 0C3",312,49.287097,-123.118551,2.0,0.9918233385820796,447.0,353.0
107,Breka Bakery & Café,8.6,"740 Hastings St W, Vancouver BC V6C 1A3",320,49.287097,-123.118551,1.0,0.9956365843941493,48.0,10.0
108,49th Parallel Café & Lucky's Doughnuts - THURLOW,8.9,"689 Thurlow St, Vancouver BC V6E 0A1",340,49.287097,-123.118551,1.0,0.9930754491472368,157.0,122.0
109,Sephora,9.0,"701 Georgia St E (at Howe St.), Vancouver BC V6A 1Z9",347,49.287097,-123.118551,,0.9955986416497505,37.0,79.0
110,OEB Breakfast Co,8.2,"1137 Marinaside Cres, Vancouver BC V6Z 2Y3",94,49.273471,-123.118016,1.0,0.9687351786154692,94.0,44.0
111,La Terrazza,8.9,"1088 Cambie St (at Pacific Blvd.), Vancouver BC V6B 6J5",162,49.273471,-123.118016,4.0,0.9513574016808636,29.0,34.0
112,Minami Restaurant,9.0,"1118 Mainland St (at Helmcken St.), Vancouver BC V6B 2T9",292,49.273471,-123.118016,3.0,0.9346246514010358,569.0,326.0
113,Mister,8.8,"1141 Mainland St (btwn Davie & Helmcken), Vancouver BC V6B 5P2",297,49.273471,-123.118016,1.0,0.9652444461307886,109.0,85.0
114,Angus T,8.9,"1036 Mainland St, Vancouver BC V6B 2T4",308,49.273471,-123.118016,1.0,0.9421373147919789,52.0,26.0
115,Cooper's Park,8.8,"1020 Marinaside Cres (Cambie Bridge), Vancouver BC",309,49.273471,-123.118016,,0.9970404659369012,208.0,62.0
116,Tacofino,9.0,"1025 Mainland St (Nelson), Vancouver BC V6B 5P9",343,49.273471,-123.118016,1.0,0.9687731213598679,41.0,94.0
117,The Flying Pig Yaletown,8.8,"1168 Hamilton St (btwn Davie & Helmcken St), Vancouver BC V6B 2S2",364,49.273471,-123.118016,3.0,0.9588510936996073,372.0,381.0
118,Blue Water Cafe + Raw Bar,9.1,"1095 Hamilton St (at Helmcken St), Vancouver BC V6B 5T4",373,49.273471,-123.118016,4.0,0.9664775853237465,381.0,317.0
119,The Keg Steakhouse + Bar - Yaletown,8.2,"1011 Mainland St (at Nelson St), Vancouver BC V6B 5P9",365,49.273471,-123.118016,3.0,0.9727950522661304,249.0,210.0
120,Lululemon Athletica,8.2,"1148 Robson St (At Burrard St), Vancouver BC V6E 1B2",66,49.282758,-123.122092,,0.9902107719451347,97.0,123.0
121,Vancouver Art Gallery,8.6,"750 Hornby St (btwn Robson & W Georgia St.), Vancouver BC V6Z 2H7",118,49.282758,-123.122092,,0.9961488114435317,1598.0,564.0
122,JOEY Burrard,8.1,"820 Burrard St, Vancouver BC V6Z 1X9",102,49.282758,-123.122092,2.0,0.9911024264385043,312.0,259.0
123,Boulevard Kitchen & Oyster Bar,8.3,"845 Burrard St (Robson Street), Vancouver BC V6Z 2K6",113,49.282758,-123.122092,4.0,0.9919371668152758,129.0,69.0
124,Rocky Mountain Chocolate Factory,8.7,"1017 Robson St (at Burrard St.), Vancouver BC V6E 1A9",130,49.282758,-123.122092,1.0,0.9552655043539299,91.0,64.0
125,Indigo - Robson,9.1,"1033 Robson St, Vancouver BC V6E 1A9",174,49.282758,-123.122092,,0.9947259585285804,99.0,29.0
126,Hawksworth Restaurant,9.1,"801 Georgia St W (at Howe St), Vancouver BC V6C 1P7",202,49.282758,-123.122092,4.0,0.9903246001783309,411.0,273.0
127,Le Crocodile Restaurant,8.9,"100A90 Burrard St (Smithe St), Vancouver BC V6Z 2N2",231,49.282758,-123.122092,4.0,0.9374513858587392,143.0,87.0
128,Sephora,8.2,"1045 Robson St, Vancouver BC V6E 1A9",209,49.282758,-123.122092,,0.9872132951376373,52.0,67.0
129,Commodore Ballroom,9.1,"838 Granville St (Btw Robson & Smithe), Vancouver BC V6Z 1K3",257,49.282758,-123.122092,,0.9736487640151013,729.0,295.0
130,Breka Bakery & Café,8.6,"740 Hastings St W, Vancouver BC V6C 1A3",144,49.28602,-123.116624,1.0,0.9956365843941493,48.0,10.0
131,The Vancouver Club,8.5,"915 Hastings St W (btwn Hornby & Burrard), Vancouver BC V6C 1C6",170,49.28602,-123.116624,,0.9915767107434881,252.0,42.0
132,Sephora,9.0,"701 Georgia St E (at Howe St.), Vancouver BC V6A 1Z9",218,49.28602,-123.116624,,0.9955986416497505,37.0,79.0
133,Cactus Club Cafe Bentall 5,8.3,"588 Burrard St (at Dunsmuir St), Vancouver BC V6C 0A8",193,49.28602,-123.116624,2.0,0.9958832122327408,435.0,328.0
134,Botanist,8.6,"1038 Canada Pl, Vancouver BC V6C 0B9",250,49.28602,-123.116624,1.0,0.9814270266168352,127.0,69.0
135,Hy's Steakhouse & Cocktail Bar,8.2,"637 Hornby St (btwn Dunsmuir & Georgia), Vancouver BC V6C 2G3",237,49.28602,-123.116624,4.0,0.9495740926941245,117.0,93.0
136,The Keg Steakhouse + Bar,8.7,"688 Dunsmuir St, Vancouver BC V6B 1N3",287,49.28602,-123.116624,2.0,0.982280738365806,141.0,208.0
137,Kokoro Tokyo Mazesoba,8.8,"551 Seymour St, Vancouver BC V6B 3H6",310,49.28602,-123.116624,1.0,0.9792453188139099,90.0,40.0
138,Granville Square,8.2,"200 Granville St (at W Cordova St), Vancouver BC V6C 1S4",294,49.28602,-123.116624,,0.9918802526986777,98.0,29.0
139,Baghdad Cafe,8.4,"548 Seymour St, Vancouver BC V6B 3J5",318,49.28602,-123.116624,1.0,0.9670846692341257,39.0,57.0
140,Vancouver Public Library,9.1,"350 Georgia St W (btwn Homer & Hamilton), Vancouver BC V6B 6B1",72,49.279739,-123.116251,,0.9985012615962513,1249.0,389.0
141,Cafe Medina,9.0,"780 Richards St (btwn W Georgia & Robson), Vancouver BC V6B 3A4",101,49.279739,-123.116251,2.0,0.9852402724289048,995.0,1116.0
142,Fanny Bay Oyster Bar & Shellfish Market,9.0,"762 Cambie St, Vancouver BC V6B 2P2",183,49.279739,-123.116251,4.0,0.9729657946159246,162.0,60.0
143,Black Rice Izakaya,8.5,"782 Cambie St (Robson), Vancouver BC V6B 2P2",184,49.279739,-123.116251,,0.9254614786287492,64.0,71.0
144,Homer St. Cafe and Bar,8.7,"898 Homer St (at Smithe St.), Vancouver BC V6B 2W5",200,49.279739,-123.116251,2.0,0.9738953918536928,228.0,191.0
145,Lupo Restaurant & Vinoteca,8.6,"869 Hamilton St (btwn Smithe & Robson), Vancouver BC V6B 2R7",200,49.279739,-123.116251,2.0,0.9712393997457837,87.0,120.0
146,Queen Elizabeth Theatre,9.0,"600 Block Hamilton St (at W Georgia St), Vancouver BC V6B 2P1",260,49.279739,-123.116251,,0.9950864146003681,841.0,253.0
147,The Orpheum,8.8,"601 Smithe St (btwn Smithe & Robson), Vancouver BC V6B 3L4",287,49.279739,-123.116251,,0.9875927225816243,625.0,211.0
148,Commodore Ballroom,9.1,"838 Granville St (Btw Robson & Smithe), Vancouver BC V6Z 1K3",326,49.279739,-123.116251,,0.9736487640151013,729.0,295.0
149,Gotham Steakhouse & Cocktail Bar,9.2,"615 Seymour St (btwn Dunsmuir & W Georgia), Vancouver BC V6B 3K3",344,49.279739,-123.116251,4.0,0.9869097531824477,167.0,175.0
150,Fanny Bay Oyster Bar & Shellfish Market,9.0,"762 Cambie St, Vancouver BC V6B 2P2",124,49.277483,-123.114279,4.0,0.9729657946159246,162.0,60.0
151,Black Rice Izakaya,8.5,"782 Cambie St (Robson), Vancouver BC V6B 2P2",118,49.277483,-123.114279,,0.9254614786287492,64.0,71.0
152,Vancouver Public Library,9.1,"350 Georgia St W (btwn Homer & Hamilton), Vancouver BC V6B 6B1",229,49.277483,-123.114279,,0.9985012615962513,1249.0,389.0
153,Lupo Restaurant & Vinoteca,8.6,"869 Hamilton St (btwn Smithe & Robson), Vancouver BC V6B 2R7",238,49.277483,-123.114279,2.0,0.9712393997457837,87.0,120.0
154,Honey Salt,8.5,"39 Smithe St, Vancouver BC V6B 0R3",280,49.277483,-123.114279,,0.9913680256492952,41.0,41.0
155,BC Place,8.7,"777 Pacific Blvd (at Expo Blvd.), Vancouver BC V6B 4Y8",301,49.277483,-123.114279,,0.9997723435336078,3570.0,954.0
156,Queen Elizabeth Theatre,9.0,"600 Block Hamilton St (at W Georgia St), Vancouver BC V6B 2P1",325,49.277483,-123.114279,,0.9950864146003681,841.0,253.0
157,Homer St. Cafe and Bar,8.7,"898 Homer St (at Smithe St.), Vancouver BC V6B 2W5",322,49.277483,-123.114279,2.0,0.9738953918536928,228.0,191.0
158,Tacofino,9.0,"1025 Mainland St (Nelson), Vancouver BC V6B 5P9",388,49.277483,-123.114279,1.0,0.9687731213598679,41.0,94.0
159,Cafe Medina,9.0,"780 Richards St (btwn W Georgia & Robson), Vancouver BC V6B 3A4",390,49.277483,-123.114279,2.0,0.9852402724289048,995.0,1116.0
160,La Terrazza,8.9,"1088 Cambie St (at Pacific Blvd.), Vancouver BC V6B 6J5",160,49.275679,-123.116963,4.0,0.9513574016808636,29.0,34.0
161,Tacofino,9.0,"1025 Mainland St (Nelson), Vancouver BC V6B 5P9",194,49.275679,-123.116963,1.0,0.9687731213598679,41.0,94.0
162,Angus T,8.9,"1036 Mainland St, Vancouver BC V6B 2T4",214,49.275679,-123.116963,1.0,0.9421373147919789,52.0,26.0
163,The Keg Steakhouse + Bar - Yaletown,8.2,"1011 Mainland St (at Nelson St), Vancouver BC V6B 5P9",208,49.275679,-123.116963,3.0,0.9727950522661304,249.0,210.0
164,The Parlour,8.7,"1011 Hamilton St (btwn Nelson & Helmcken), Vancouver BC V6B 5T4",257,49.275679,-123.116963,2.0,0.9619244559959022,223.0,223.0
165,Lupo Restaurant & Vinoteca,8.6,"869 Hamilton St (btwn Smithe & Robson), Vancouver BC V6B 2R7",271,49.275679,-123.116963,2.0,0.9712393997457837,87.0,120.0
166,Minami Restaurant,9.0,"1118 Mainland St (at Helmcken St.), Vancouver BC V6B 2T9",284,49.275679,-123.116963,3.0,0.9346246514010358,569.0,326.0
167,Blue Water Cafe + Raw Bar,9.1,"1095 Hamilton St (at Helmcken St), Vancouver BC V6B 5T4",305,49.275679,-123.116963,4.0,0.9664775853237465,381.0,317.0
168,Honey Salt,8.5,"39 Smithe St, Vancouver BC V6B 0R3",292,49.275679,-123.116963,,0.9913680256492952,41.0,41.0
