,names,ratings,locations,latitude,longitude
52,Incognito Coffee,4.5,843 Seymour Street,49.279764,-123.110154
53,Passione Gelato,4.5,55 Smithe Street,49.279764,-123.110154
54,VAN CHA,4.5,433 Hornby Street,49.279764,-123.110154
55,Le Parfait,4.5,812 Homer Street,49.279764,-123.110154
56,Tekkaba,4.5,68 E Cordova Street,49.279764,-123.110154
57,Ignite Pizzeria,4.5,987 Mainland Street,49.279764,-123.110154
58,Sweet Spot,4.5,1178 Marinaside Crescent,49.279764,-123.110154
59,Hoduya,4.5,86 Keefer Place,49.279764,-123.110154
60,The Golden Horn Turkish Bakery & Cafe,5.0,2857 Cambie Street,49.260599,-123.113504
61,WA-2!,5.0,1795 Powell Street,49.260599,-123.113504
62,La Taqueria Food Truck,5.0,,49.260599,-123.113504
63,Convivial Cafe and Bakery,5.0,680A Leg In Boot Square,49.260599,-123.113504
64,Mount Pleasant Park,5.0,3161 Ontario Street,49.260599,-123.113504
65,Uno Gelato,4.5,601 Stamps Landing,49.260599,-123.113504
66,Blaze Gourmet Burgers,4.5,43 E 5th Avenue,49.260599,-123.113504
67,Pizzamia Gourmet Pizza Bar,4.5,407 W Broadway,49.260599,-123.113504
68,Lumiere Cafe,4.5,521 West Broadway,49.260599,-123.113504
69,Honolulu Coffee,4.5,97 West 2nd Avenue,49.260599,-123.113504
70,Rolling Cashew,4.5,401 Industrial Avenue,49.260599,-123.113504
71,Hot Cha Cafe,4.5,3306 Cambie Street,49.260599,-123.113504
72,Cilantro Indian Cuisine,4.5,189 W Broadway,49.260599,-123.113504
73,Superbaba,4.5,2419 Main St,49.260599,-123.113504
74,Deja Brew,4.5,943 W Broadway,49.260599,-123.113504
75,The Mighty Oak,4.5,198 W 18th Avenue,49.260599,-123.113504
76,Suyo Modern Peruvian,4.5,3475 Main Street,49.260599,-123.113504
77,River's Sushi,5.0,678 W Broadway,49.260599,-123.113504
78,Paper Cone Desserts,4.5,3623 Main Street,49.260599,-123.113504
79,Frostbites Shave Ice,5.0,,49.260599,-123.113504
80,The Golden Horn Turkish Bakery & Cafe,5.0,2857 Cambie Street,49.264215,-123.117772
81,WA-2!,5.0,1795 Powell Street,49.264215,-123.117772
82,George Wainborn Park,5.0,450 Beach Crescent,49.264215,-123.117772
83,La Taqueria Food Truck,5.0,,49.264215,-123.117772
84,Convivial Cafe and Bakery,5.0,680A Leg In Boot Square,49.264215,-123.117772
85,Mount Pleasant Park,5.0,3161 Ontario Street,49.264215,-123.117772
86,Uno Gelato,4.5,601 Stamps Landing,49.264215,-123.117772
87,Pizzamia Gourmet Pizza Bar,4.5,407 W Broadway,49.264215,-123.117772
88,Sweet Spot,4.5,1178 Marinaside Crescent,49.264215,-123.117772
89,Lumiere Cafe,4.5,521 West Broadway,49.264215,-123.117772
90,Honolulu Coffee,4.5,97 West 2nd Avenue,49.264215,-123.117772
91,Rolling Cashew,4.5,401 Industrial Avenue,49.264215,-123.117772
92,Hot Cha Cafe,4.5,3306 Cambie Street,49.264215,-123.117772
93,Saucin Staples,4.5,1073 W Broadway,49.264215,-123.117772
94,Cilantro Indian Cuisine,4.5,189 W Broadway,49.264215,-123.117772
95,Deja Brew,4.5,943 W Broadway,49.264215,-123.117772
96,David Lam Park,4.5,1300 Pacific Blvd,49.264215,-123.117772
97,River's Sushi,5.0,678 W Broadway,49.264215,-123.117772
98,Frostbites Shave Ice,5.0,,49.264215,-123.117772
99,Farm Ventures,5.0,713 Sullivan Road,49.264215,-123.117772
100,Grab N Go,5.0,1207 Hamilton Street,49.270877,-123.115103
101,Okeya Kyujiro,5.0,1038 Mainland Street,49.270877,-123.115103
102,Sake Dining Hashigo,5.0,1265 Granville St,49.270877,-123.115103
103,WA-2!,5.0,1795 Powell Street,49.270877,-123.115103
104,Manoush'eh,5.0,620 Davie Street,49.270877,-123.115103
105,Rainbow Park,5.0,872 Richards Street,49.270877,-123.115103
106,Convivial Cafe and Bakery,5.0,680A Leg In Boot Square,49.270877,-123.115103
107,Say Hello Sweets,5.0,620 Quebec Street,49.270877,-123.115103
108,7 Days Coffee,5.0,920 Beatty Street,49.270877,-123.115103
109,Smithe Salad,4.5,191 Smithe Street,49.270877,-123.115103
110,Uno Gelato,4.5,601 Stamps Landing,49.270877,-123.115103
111,Passione Gelato,4.5,55 Smithe Street,49.270877,-123.115103
112,Blaze Gourmet Burgers,4.5,43 E 5th Avenue,49.270877,-123.115103
113,Pizzamia Gourmet Pizza Bar,4.5,407 W Broadway,49.270877,-123.115103
114,Le Parfait,4.5,812 Homer Street,49.270877,-123.115103
115,Ignite Pizzeria,4.5,987 Mainland Street,49.270877,-123.115103
116,Sweet Spot,4.5,1178 Marinaside Crescent,49.270877,-123.115103
117,Hoduya,4.5,86 Keefer Place,49.270877,-123.115103
118,Lumiere Cafe,4.5,521 West Broadway,49.270877,-123.115103
119,Obanhmi,4.5,1239 Pacific Boulevard,49.270877,-123.115103
120,Grab N Go,5.0,1207 Hamilton Street,49.26893,-123.11813
121,Parker Rooftop,5.0,1379 Howe Street,49.26893,-123.11813
122,Okeya Kyujiro,5.0,1038 Mainland Street,49.26893,-123.11813
123,Sake Dining Hashigo,5.0,1265 Granville St,49.26893,-123.11813
124,WA-2!,5.0,1795 Powell Street,49.26893,-123.11813
125,Manoush'eh,5.0,620 Davie Street,49.26893,-123.11813
126,Number E Food,5.0,1308 Burrard Street,49.26893,-123.11813
127,George Wainborn Park,5.0,450 Beach Crescent,49.26893,-123.11813
128,La Taqueria Food Truck,5.0,,49.26893,-123.11813
129,Convivial Cafe and Bakery,5.0,680A Leg In Boot Square,49.26893,-123.11813
130,7 Days Coffee,5.0,920 Beatty Street,49.26893,-123.11813
131,Smithe Salad,4.5,191 Smithe Street,49.26893,-123.11813
132,Uno Gelato,4.5,601 Stamps Landing,49.26893,-123.11813
133,Passione Gelato,4.5,55 Smithe Street,49.26893,-123.11813
134,Pizzamia Gourmet Pizza Bar,4.5,407 W Broadway,49.26893,-123.11813
135,Ignite Pizzeria,4.5,987 Mainland Street,49.26893,-123.11813
136,Sweet Spot,4.5,1178 Marinaside Crescent,49.26893,-123.11813
137,Lumiere Cafe,4.5,521 West Broadway,49.26893,-123.11813
138,Obanhmi,4.5,1239 Pacific Boulevard,49.26893,-123.11813
139,Honolulu Coffee,4.5,97 West 2nd Avenue,49.26893,-123.11813
140,Johnny's Pops,5.0,,49.271721,-123.104207
141,WA-2!,5.0,1795 Powell Street,49.271721,-123.104207
142,Cookies of Course,5.0,,49.271721,-123.104207
143,Say Hello Sweets,5.0,620 Quebec Street,49.271721,-123.104207
144,7 Days Coffee,5.0,920 Beatty Street,49.271721,-123.104207
145,Smithe Salad,4.5,191 Smithe Street,49.271721,-123.104207
146,Passione Gelato,4.5,55 Smithe Street,49.271721,-123.104207
147,Blaze Gourmet Burgers,4.5,43 E 5th Avenue,49.271721,-123.104207
148,Pizzamia Gourmet Pizza Bar,4.5,407 W Broadway,49.271721,-123.104207
149,Le Parfait,4.5,812 Homer Street,49.271721,-123.104207
150,Hoduya,4.5,86 Keefer Place,49.271721,-123.104207
151,Le Petit Belge,4.5,1007 Main Street,49.271721,-123.104207
152,Lumiere Cafe,4.5,521 West Broadway,49.271721,-123.104207
153,The Chinese Tea Shop,4.5,101 E Pender Street,49.271721,-123.104207
154,Honolulu Coffee,4.5,97 West 2nd Avenue,49.271721,-123.104207
155,Rolling Cashew,4.5,401 Industrial Avenue,49.271721,-123.104207
156,Little Bangkok Thai Kitchen 2,4.5,88 W Pender Street,49.271721,-123.104207
157,Cilantro Indian Cuisine,4.5,189 W Broadway,49.271721,-123.104207
158,Manpuku Bento,4.5,288 E Pender Street,49.271721,-123.104207
159,Superbaba,4.5,2419 Main St,49.271721,-123.104207
160,Marine Building,5.0,355 Burrard St,49.287214,-123.11287
161,The Magnet,5.0,309 W Pender Street,49.287214,-123.11287
162,Sooda Korean BBQ,5.0,60 West Cordova Street,49.287214,-123.11287
163,Robba Da Matti,5.0,12 Powell St,49.287214,-123.11287
164,Social Crust,5.0,335 W Pender St,49.287214,-123.11287
165,Rainbow Park,5.0,872 Richards Street,49.287214,-123.11287
166,Jack Poole Plaza,5.0,1055 Canada Place,49.287214,-123.11287
167,West Hotel & Bar,5.0,488 Carrall St,49.287214,-123.11287
168,Say Hello Sweets,5.0,620 Quebec Street,49.287214,-123.11287
169,Incognito Coffee,4.5,843 Seymour Street,49.287214,-123.11287
170,VAN CHA,4.5,433 Hornby Street,49.287214,-123.11287
171,Le Parfait,4.5,812 Homer Street,49.287214,-123.11287
172,Tekkaba,4.5,68 E Cordova Street,49.287214,-123.11287
173,Hoduya,4.5,86 Keefer Place,49.287214,-123.11287
174,Amante Bakery,4.5,590 Robson St,49.287214,-123.11287
175,Aiyaohno Cafe,4.5,425 Carrall Street,49.287214,-123.11287
176,Curry Hut Indian Bistro,4.5,445 Howe Street,49.287214,-123.11287
177,The Chinese Tea Shop,4.5,101 E Pender Street,49.287214,-123.11287
178,Trish Juice,4.5,981 Hornby Street,49.287214,-123.11287
179,Little Bangkok Thai Kitchen 2,4.5,88 W Pender Street,49.287214,-123.11287
180,Grab N Go,5.0,1207 Hamilton Street,49.282409,-123.118541
181,Parker Rooftop,5.0,1379 Howe Street,49.282409,-123.118541
182,Marine Building,5.0,355 Burrard St,49.282409,-123.118541
183,Okeya Kyujiro,5.0,1038 Mainland Street,49.282409,-123.118541
184,Sake Dining Hashigo,5.0,1265 Granville St,49.282409,-123.118541
185,Cardero Cafe,5.0,1105 Davie St,49.282409,-123.118541
186,Ssong's Hotdog,5.0,795 Jervis Street,49.282409,-123.118541
187,Manoush'eh,5.0,620 Davie Street,49.282409,-123.118541
188,The Magnet,5.0,309 W Pender Street,49.282409,-123.118541
189,Sooda Korean BBQ,5.0,60 West Cordova Street,49.282409,-123.118541
190,Number E Food,5.0,1308 Burrard Street,49.282409,-123.118541
191,Social Crust,5.0,335 W Pender St,49.282409,-123.118541
192,Rainbow Park,5.0,872 Richards Street,49.282409,-123.118541
193,Jack Poole Plaza,5.0,1055 Canada Place,49.282409,-123.118541
194,7 Days Coffee,5.0,920 Beatty Street,49.282409,-123.118541
195,Smithe Salad,4.5,191 Smithe Street,49.282409,-123.118541
196,Incognito Coffee,4.5,843 Seymour Street,49.282409,-123.118541
197,Passione Gelato,4.5,55 Smithe Street,49.282409,-123.118541
198,VAN CHA,4.5,433 Hornby Street,49.282409,-123.118541
199,Starbucks,4.5,1088 Burrard Street,49.282409,-123.118541
200,Marine Building,5.0,355 Burrard St,49.287097,-123.118551
201,Cardero Cafe,5.0,1105 Davie St,49.287097,-123.118551
202,Ssong's Hotdog,5.0,795 Jervis Street,49.287097,-123.118551
203,The Magnet,5.0,309 W Pender Street,49.287097,-123.118551
204,Sooda Korean BBQ,5.0,60 West Cordova Street,49.287097,-123.118551
205,Social Crust,5.0,335 W Pender St,49.287097,-123.118551
206,Rainbow Park,5.0,872 Richards Street,49.287097,-123.118551
207,Jack Poole Plaza,5.0,1055 Canada Place,49.287097,-123.118551
208,Incognito Coffee,4.5,843 Seymour Street,49.287097,-123.118551
209,VAN CHA,4.5,433 Hornby Street,49.287097,-123.118551
210,Starbucks,4.5,1088 Burrard Street,49.287097,-123.118551
211,Le Parfait,4.5,812 Homer Street,49.287097,-123.118551
212,Yasma,4.5,550 Denman Street,49.287097,-123.118551
213,Hoduya,4.5,86 Keefer Place,49.287097,-123.118551
214,Amante Bakery,4.5,590 Robson St,49.287097,-123.118551
215,Curry Hut Indian Bistro,4.5,445 Howe Street,49.287097,-123.118551
216,The Red Accordion,4.5,1616 Alberni Street,49.287097,-123.118551
217,Pho 37,4.5,1578 Robson Street,49.287097,-123.118551
218,Trish Juice,4.5,981 Hornby Street,49.287097,-123.118551
219,Little Bangkok Thai Kitchen 2,4.5,88 W Pender Street,49.287097,-123.118551
220,Grab N Go,5.0,1207 Hamilton Street,49.273471,-123.118016
221,Parker Rooftop,5.0,1379 Howe Street,49.273471,-123.118016
222,Okeya Kyujiro,5.0,1038 Mainland Street,49.273471,-123.118016
223,Sake Dining Hashigo,5.0,1265 Granville St,49.273471,-123.118016
224,Cardero Cafe,5.0,1105 Davie St,49.273471,-123.118016
225,Manoush'eh,5.0,620 Davie Street,49.273471,-123.118016
226,The Magnet,5.0,309 W Pender Street,49.273471,-123.118016
227,Number E Food,5.0,1308 Burrard Street,49.273471,-123.118016
228,Rainbow Park,5.0,872 Richards Street,49.273471,-123.118016
229,George Wainborn Park,5.0,450 Beach Crescent,49.273471,-123.118016
230,Convivial Cafe and Bakery,5.0,680A Leg In Boot Square,49.273471,-123.118016
231,7 Days Coffee,5.0,920 Beatty Street,49.273471,-123.118016
232,Smithe Salad,4.5,191 Smithe Street,49.273471,-123.118016
233,Incognito Coffee,4.5,843 Seymour Street,49.273471,-123.118016
234,Uno Gelato,4.5,601 Stamps Landing,49.273471,-123.118016
235,Passione Gelato,4.5,55 Smithe Street,49.273471,-123.118016
236,Starbucks,4.5,1088 Burrard Street,49.273471,-123.118016
237,Le Parfait,4.5,812 Homer Street,49.273471,-123.118016
238,Ignite Pizzeria,4.5,987 Mainland Street,49.273471,-123.118016
239,Sweet Spot,4.5,1178 Marinaside Crescent,49.273471,-123.118016
240,Grab N Go,5.0,1207 Hamilton Street,49.282758,-123.122092
241,Parker Rooftop,5.0,1379 Howe Street,49.282758,-123.122092
242,Marine Building,5.0,355 Burrard St,49.282758,-123.122092
243,Okeya Kyujiro,5.0,1038 Mainland Street,49.282758,-123.122092
244,Sake Dining Hashigo,5.0,1265 Granville St,49.282758,-123.122092
245,Cardero Cafe,5.0,1105 Davie St,49.282758,-123.122092
246,Ssong's Hotdog,5.0,795 Jervis Street,49.282758,-123.122092
247,inBtwn Cafe,5.0,1625 Hornby Street,49.282758,-123.122092
248,Manoush'eh,5.0,620 Davie Street,49.282758,-123.122092
249,The Magnet,5.0,309 W Pender Street,49.282758,-123.122092
250,Number E Food,5.0,1308 Burrard Street,49.282758,-123.122092
251,Social Crust,5.0,335 W Pender St,49.282758,-123.122092
252,Rainbow Park,5.0,872 Richards Street,49.282758,-123.122092
253,Jack Poole Plaza,5.0,1055 Canada Place,49.282758,-123.122092
254,Trees Cheesecake & Organic Coffee,5.0,130-1160 Davie Street,49.282758,-123.122092
255,Keto Caveman Davie,5.0,1230 Davie Street,49.282758,-123.122092
256,7 Days Coffee,5.0,920 Beatty Street,49.282758,-123.122092
257,Smithe Salad,4.5,191 Smithe Street,49.282758,-123.122092
258,Incognito Coffee,4.5,843 Seymour Street,49.282758,-123.122092
259,Passione Gelato,4.5,55 Smithe Street,49.282758,-123.122092
260,Marine Building,5.0,355 Burrard St,49.28602,-123.116624
261,Ssong's Hotdog,5.0,795 Jervis Street,49.28602,-123.116624
262,The Magnet,5.0,309 W Pender Street,49.28602,-123.116624
263,Sooda Korean BBQ,5.0,60 West Cordova Street,49.28602,-123.116624
264,Robba Da Matti,5.0,12 Powell St,49.28602,-123.116624
265,Social Crust,5.0,335 W Pender St,49.28602,-123.116624
266,Rainbow Park,5.0,872 Richards Street,49.28602,-123.116624
267,Jack Poole Plaza,5.0,1055 Canada Place,49.28602,-123.116624
268,West Hotel & Bar,5.0,488 Carrall St,49.28602,-123.116624
269,Smithe Salad,4.5,191 Smithe Street,49.28602,-123.116624
270,Incognito Coffee,4.5,843 Seymour Street,49.28602,-123.116624
271,VAN CHA,4.5,433 Hornby Street,49.28602,-123.116624
272,Starbucks,4.5,1088 Burrard Street,49.28602,-123.116624
273,Le Parfait,4.5,812 Homer Street,49.28602,-123.116624
274,Ignite Pizzeria,4.5,987 Mainland Street,49.28602,-123.116624
275,Hoduya,4.5,86 Keefer Place,49.28602,-123.116624
276,Amante Bakery,4.5,590 Robson St,49.28602,-123.116624
277,Aiyaohno Cafe,4.5,425 Carrall Street,49.28602,-123.116624
278,Curry Hut Indian Bistro,4.5,445 Howe Street,49.28602,-123.116624
279,Trish Juice,4.5,981 Hornby Street,49.28602,-123.116624
280,Grab N Go,5.0,1207 Hamilton Street,49.279739,-123.116251
281,Marine Building,5.0,355 Burrard St,49.279739,-123.116251
282,Okeya Kyujiro,5.0,1038 Mainland Street,49.279739,-123.116251
283,Sake Dining Hashigo,5.0,1265 Granville St,49.279739,-123.116251
284,Ssong's Hotdog,5.0,795 Jervis Street,49.279739,-123.116251
285,Manoush'eh,5.0,620 Davie Street,49.279739,-123.116251
286,The Magnet,5.0,309 W Pender Street,49.279739,-123.116251
287,Sooda Korean BBQ,5.0,60 West Cordova Street,49.279739,-123.116251
288,Robba Da Matti,5.0,12 Powell St,49.279739,-123.116251
289,Social Crust,5.0,335 W Pender St,49.279739,-123.116251
290,Rainbow Park,5.0,872 Richards Street,49.279739,-123.116251
291,George Wainborn Park,5.0,450 Beach Crescent,49.279739,-123.116251
292,West Hotel & Bar,5.0,488 Carrall St,49.279739,-123.116251
293,7 Days Coffee,5.0,920 Beatty Street,49.279739,-123.116251
294,Smithe Salad,4.5,191 Smithe Street,49.279739,-123.116251
295,Incognito Coffee,4.5,843 Seymour Street,49.279739,-123.116251
296,Passione Gelato,4.5,55 Smithe Street,49.279739,-123.116251
297,VAN CHA,4.5,433 Hornby Street,49.279739,-123.116251
298,Starbucks,4.5,1088 Burrard Street,49.279739,-123.116251
299,Le Parfait,4.5,812 Homer Street,49.279739,-123.116251
300,Grab N Go,5.0,1207 Hamilton Street,49.277483,-123.114279
301,Okeya Kyujiro,5.0,1038 Mainland Street,49.277483,-123.114279
302,Sake Dining Hashigo,5.0,1265 Granville St,49.277483,-123.114279
303,Manoush'eh,5.0,620 Davie Street,49.277483,-123.114279
304,The Magnet,5.0,309 W Pender Street,49.277483,-123.114279
305,Sooda Korean BBQ,5.0,60 West Cordova Street,49.277483,-123.114279
306,Robba Da Matti,5.0,12 Powell St,49.277483,-123.114279
307,Social Crust,5.0,335 W Pender St,49.277483,-123.114279
308,Rainbow Park,5.0,872 Richards Street,49.277483,-123.114279
309,West Hotel & Bar,5.0,488 Carrall St,49.277483,-123.114279
310,Say Hello Sweets,5.0,620 Quebec Street,49.277483,-123.114279
311,7 Days Coffee,5.0,920 Beatty Street,49.277483,-123.114279
312,Smithe Salad,4.5,191 Smithe Street,49.277483,-123.114279
313,Incognito Coffee,4.5,843 Seymour Street,49.277483,-123.114279
314,Uno Gelato,4.5,601 Stamps Landing,49.277483,-123.114279
315,Passione Gelato,4.5,55 Smithe Street,49.277483,-123.114279
316,VAN CHA,4.5,433 Hornby Street,49.277483,-123.114279
317,Starbucks,4.5,1088 Burrard Street,49.277483,-123.114279
318,Le Parfait,4.5,812 Homer Street,49.277483,-123.114279
319,Tekkaba,4.5,68 E Cordova Street,49.277483,-123.114279
320,Grab N Go,5.0,1207 Hamilton Street,49.275679,-123.116963
321,Parker Rooftop,5.0,1379 Howe Street,49.275679,-123.116963
322,Okeya Kyujiro,5.0,1038 Mainland Street,49.275679,-123.116963
323,Sake Dining Hashigo,5.0,1265 Granville St,49.275679,-123.116963
324,Manoush'eh,5.0,620 Davie Street,49.275679,-123.116963
325,The Magnet,5.0,309 W Pender Street,49.275679,-123.116963
326,Sooda Korean BBQ,5.0,60 West Cordova Street,49.275679,-123.116963
327,Robba Da Matti,5.0,12 Powell St,49.275679,-123.116963
328,Social Crust,5.0,335 W Pender St,49.275679,-123.116963
329,Rainbow Park,5.0,872 Richards Street,49.275679,-123.116963
330,George Wainborn Park,5.0,450 Beach Crescent,49.275679,-123.116963
331,Convivial Cafe and Bakery,5.0,680A Leg In Boot Square,49.275679,-123.116963
332,West Hotel & Bar,5.0,488 Carrall St,49.275679,-123.116963
333,7 Days Coffee,5.0,920 Beatty Street,49.275679,-123.116963
334,Smithe Salad,4.5,191 Smithe Street,49.275679,-123.116963
335,Incognito Coffee,4.5,843 Seymour Street,49.275679,-123.116963
336,Uno Gelato,4.5,601 Stamps Landing,49.275679,-123.116963
337,Passione Gelato,4.5,55 Smithe Street,49.275679,-123.116963
338,Blaze Gourmet Burgers,4.5,43 E 5th Avenue,49.275679,-123.116963
339,Starbucks,4.5,1088 Burrard Street,49.275679,-123.116963
340,Marine Building,5.0,355 Burrard St,49.282759,-123.106955
341,Okeya Kyujiro,5.0,1038 Mainland Street,49.282759,-123.106955
342,Johnny's Pops,5.0,,49.282759,-123.106955
343,The Magnet,5.0,309 W Pender Street,49.282759,-123.106955
344,Sooda Korean BBQ,5.0,60 West Cordova Street,49.282759,-123.106955
345,Robba Da Matti,5.0,12 Powell St,49.282759,-123.106955
346,Social Crust,5.0,335 W Pender St,49.282759,-123.106955
347,Rainbow Park,5.0,872 Richards Street,49.282759,-123.106955
348,Jack Poole Plaza,5.0,1055 Canada Place,49.282759,-123.106955
349,West Hotel & Bar,5.0,488 Carrall St,49.282759,-123.106955
350,Say Hello Sweets,5.0,620 Quebec Street,49.282759,-123.106955
351,7 Days Coffee,5.0,920 Beatty Street,49.282759,-123.106955
352,Smithe Salad,4.5,191 Smithe Street,49.282759,-123.106955
353,Incognito Coffee,4.5,843 Seymour Street,49.282759,-123.106955
354,Passione Gelato,4.5,55 Smithe Street,49.282759,-123.106955
355,VAN CHA,4.5,433 Hornby Street,49.282759,-123.106955
356,Le Parfait,4.5,812 Homer Street,49.282759,-123.106955
357,Tekkaba,4.5,68 E Cordova Street,49.282759,-123.106955
358,Ignite Pizzeria,4.5,987 Mainland Street,49.282759,-123.106955
359,Hoduya,4.5,86 Keefer Place,49.282759,-123.106955
360,93 Coffee,5.0,1789 Comox Street,49.288444,-123.139203
361,Cardero Cafe,5.0,1105 Davie St,49.288444,-123.139203
362,Arike Restaurant,5.0,1725 Davie St,49.288444,-123.139203
363,Vancouver Seawall,5.0,,49.288444,-123.139203
364,Ssong's Hotdog,5.0,795 Jervis Street,49.288444,-123.139203
365,Big Bang Sushi,5.0,1103 Denman St,49.288444,-123.139203
366,Trees Cheesecake & Organic Coffee,5.0,130-1160 Davie Street,49.288444,-123.139203
367,Keto Caveman Davie,5.0,1230 Davie Street,49.288444,-123.139203
368,English Bay Beach Park,4.5,1700 Beach Avenue,49.288444,-123.139203
369,Starbucks,4.5,1088 Burrard Street,49.288444,-123.139203
370,Yasma,4.5,550 Denman Street,49.288444,-123.139203
371,Tom Sushi,4.5,1175 Davie St,49.288444,-123.139203
372,Noah's Cafe,4.5,1096 Denman Street,49.288444,-123.139203
373,Davie Village Bakery,4.5,1216 Davie Street,49.288444,-123.139203
374,Movies in the Park,4.5,Stanley Park Dr,49.288444,-123.139203
375,The Red Accordion,4.5,1616 Alberni Street,49.288444,-123.139203
376,Pho 37,4.5,1578 Robson Street,49.288444,-123.139203
377,theKhaykery,4.5,1610 Robson Street,49.288444,-123.139203
378,Al-Hadbah Donair,4.5,1610 Robson St,49.288444,-123.139203
379,Good Dogs Plant Foods,4.5,1331 Robson Street,49.288444,-123.139203
380,Marine Building,5.0,355 Burrard St,49.289124,-123.12196
381,Cardero Cafe,5.0,1105 Davie St,49.289124,-123.12196
382,Vancouver Seawall,5.0,,49.289124,-123.12196
383,Ssong's Hotdog,5.0,795 Jervis Street,49.289124,-123.12196
384,The Magnet,5.0,309 W Pender Street,49.289124,-123.12196
385,Stanley Park,5.0,1166 Stanley Park Drive,49.289124,-123.12196
386,Social Crust,5.0,335 W Pender St,49.289124,-123.12196
387,Jack Poole Plaza,5.0,1055 Canada Place,49.289124,-123.12196
388,Trees Cheesecake & Organic Coffee,5.0,130-1160 Davie Street,49.289124,-123.12196
389,Keto Caveman Davie,5.0,1230 Davie Street,49.289124,-123.12196
390,Incognito Coffee,4.5,843 Seymour Street,49.289124,-123.12196
391,VAN CHA,4.5,433 Hornby Street,49.289124,-123.12196
392,Starbucks,4.5,1088 Burrard Street,49.289124,-123.12196
393,Yasma,4.5,550 Denman Street,49.289124,-123.12196
394,Tom Sushi,4.5,1175 Davie St,49.289124,-123.12196
395,Davie Village Bakery,4.5,1216 Davie Street,49.289124,-123.12196
396,Amante Bakery,4.5,590 Robson St,49.289124,-123.12196
